comparacion,arquitectura,semilla,tasa_exito_final
Fase 6 / E2.0 (ciclo completo sin peaton),STH-WP,42,100.0
Fase 6 / E2.0 (ciclo completo sin peaton),STH-WP,123,98.8864013671875
Fase 6 / E2.0 (ciclo completo sin peaton),STH-WP,524,92.32123413085938
Fase 6 / E2.0 (ciclo completo sin peaton),SUB-WP,42,67.323193359375
Fase 6 / E2.0 (ciclo completo sin peaton),SUB-WP,123,80.34268341064453
Fase 6 / E2.0 (ciclo completo sin peaton),SUB-WP,524,73.27315368652344
E2.1 (con peaton),STH-WP,42,78.93792114257812
E2.1 (con peaton),STH-WP,123,78.42927703857421
E2.1 (con peaton),STH-WP,524,58.90593948364258
E2.1 (con peaton),SUB-WP,42,73.64942321777343
E2.1 (con peaton),SUB-WP,123,74.82081909179688
E2.1 (con peaton),SUB-WP,524,74.44073181152343
E2.2,STH-WP,42,67.10570068359375
E2.2,STH-WP,123,66.41810150146485
E2.2,STH-WP,524,53.20081100463867
E2.2,SUB-WP,42,63.5492660522461
E2.2,SUB-WP,123,68.9894027709961
E2.2,SUB-WP,524,71.36138458251953
E2.2b,STH-WP,42,65.65568084716797
E2.2b,STH-WP,123,67.25283508300781
E2.2b,STH-WP,524,60.434496307373045
E2.2b,SUB-WP,42,66.66974029541015
E2.2b,SUB-WP,123,69.27929077148437
E2.2b,SUB-WP,524,69.98182067871093
