fase,orden,semilla,exito,colision,truncado
Fase 1,1,42,94.8635986328125,1.880936074256897,3.2554662227630615
Fase 1,1,123,95.20706024169922,2.321581220626831,2.4713606357574465
Fase 1,1,524,97.94759521484374,0.0684134379029274,1.9839897155761719
Fase 2,2,42,97.7108657836914,2.2891324043273924,0.0
Fase 2,2,123,96.30023345947265,3.633304071426392,0.0664628803730011
Fase 2,2,524,99.12332153320312,0.8349340796470642,0.04174670428037643
Fase 3v2,3,42,67.28140716552734,32.221046447753906,0.49754570722579955
Fase 3v2,3,123,74.10425415039063,25.895744705200194,0.0
Fase 3v2,3,524,72.41175689697266,27.588244247436524,0.0
Fase 4v2,4,42,82.25638122558594,12.910347366333008,4.833270740509033
Fase 4v2,4,123,87.81615905761718,7.696484184265136,4.487357139587402
Fase 4v2,4,524,75.40514373779297,22.275187301635743,2.319670009613037
Fase 5,5,42,99.69709777832031,0.3029037952423096,0.0
Fase 5,5,123,100.0,0.0,0.0
Fase 5,5,524,89.959423828125,10.040575218200683,0.0
Fase 6,6,42,100.0,0.0,0.0
Fase 6,6,123,98.8864013671875,1.113596796989441,0.0
Fase 6,6,524,92.32123413085938,7.678765201568604,0.0
E2.1,7,42,78.93792114257812,21.062079620361327,0.0
E2.1,7,123,78.42927703857421,21.57072334289551,0.0
E2.1,7,524,58.90593948364258,41.09406051635742,0.0
E2.2,8,42,67.10570068359375,32.894300079345705,0.0
E2.2,8,123,66.41810150146485,33.58189849853515,0.0
E2.2,8,524,53.20081100463867,46.79918899536133,0.0
E2.2b,9,42,65.65568084716797,34.311135864257814,0.03318291753530502
E2.2b,9,123,67.25283508300781,32.74716339111328,0.0
E2.2b,9,524,60.434496307373045,39.565503692626955,0.0
