fase,orden,semilla,exito,colision,truncado
Fase 1,1,42,98.85004577636718,0.33822181820869446,0.8117323756217957
Fase 1,1,123,96.61273651123047,2.032358455657959,1.3549056768417358
Fase 1,1,524,98.06112518310547,1.2034400701522827,0.7354355931282044
Fase 2,2,42,98.61437225341797,0.44621936678886415,0.9394091963768005
Fase 2,2,123,97.64192504882813,1.961390209197998,0.3966856598854065
Fase 2,2,524,98.66944427490235,0.7983327984809876,0.5322218656539917
Fase 3 r2,3,42,86.76613159179688,11.008067893981934,2.225800657272339
Fase 3 r2,3,123,90.46617889404297,8.643563842773437,0.8902565360069274
Fase 3 r2,3,524,90.80253448486329,8.668407440185547,0.5290577054023743
Fase 4 r2,4,42,49.615576171875,2.716557025909424,47.66786651611328
Fase 4 r2,4,123,54.38454666137695,2.953354263305664,42.66209869384765
Fase 4 r2,4,524,56.946563720703125,0.8651404023170471,42.188296508789065
Fase 5 r2,5,42,95.9904769897461,1.9570253610610961,2.052497148513794
Fase 5 r2,5,123,87.60922393798828,0.98253333568573,11.408244323730468
Fase 5 r2,5,524,99.88634338378907,0.0,0.1136561617255211
E2.0,6,42,67.323193359375,29.54339179992676,3.1334136486053468
E2.0,6,123,80.34268341064453,19.65731735229492,0.0
E2.0,6,524,73.27315368652344,22.973076629638673,3.753770685195923
E2.1,7,42,73.64942321777343,26.35057716369629,0.0
E2.1,7,123,74.82081909179688,25.179180145263672,0.0
E2.1,7,524,74.44073181152343,25.559268951416016,0.0
E2.2,8,42,63.5492660522461,35.62146987915039,0.8292646169662475
E2.2,8,123,68.9894027709961,31.010597229003906,0.0
E2.2,8,524,71.36138458251953,28.63861427307129,0.0
E2.2b,9,42,66.66974029541015,33.1918830871582,0.13837644457817078
E2.2b,9,123,69.27929077148437,30.67503433227539,0.045674658566713336
E2.2b,9,524,69.98182067871093,30.01817741394043,0.0
