arquitectura,fase,semilla,intentos_totales,exitos_totales,colisiones_totales,tasa_exito_%,tasa_colision_%
STH-WP,stage1,42,1400,1329,26,94.93,1.86
STH-WP,stage1,123,1352,1288,31,95.27,2.29
STH-WP,stage1,524,1479,1449,1,97.97,0.07
STH-WP,stage2,42,4740,4631,109,97.7,2.3
STH-WP,stage2,123,4518,4351,164,96.3,3.63
STH-WP,stage2,524,4796,4754,40,99.12,0.83
STH-WP,stage3v2,42,no registrada,no registrada,no registrada,no registrada,no registrada
STH-WP,stage3v2,123,no registrada,no registrada,no registrada,no registrada,no registrada
STH-WP,stage3v2,524,no registrada,no registrada,no registrada,no registrada,no registrada
STH-WP,stage4v2,42,no registrada,no registrada,no registrada,no registrada,no registrada
STH-WP,stage4v2,123,no registrada,no registrada,no registrada,no registrada,no registrada
STH-WP,stage4v2,524,no registrada,no registrada,no registrada,no registrada,no registrada
STH-WP,stage5,42,4300,4287,13,99.7,0.3
STH-WP,stage5,123,4266,4266,0,100.0,0.0
STH-WP,stage5,524,4102,3691,411,89.98,10.02
STH-WP,stage6,42,439,439,0,100.0,0.0
STH-WP,stage6,123,451,446,5,98.89,1.11
STH-WP,stage6,524,466,430,36,92.27,7.73
STH-WP,sthwp_e2_1,42,2789,2202,587,78.95,21.05
STH-WP,sthwp_e2_1,123,2816,2209,607,78.44,21.56
STH-WP,sthwp_e2_1,524,3144,1852,1292,58.91,41.09
STH-WP,sthwp_e2_2,42,2963,1989,974,67.13,32.87
STH-WP,sthwp_e2_2,123,3007,1998,1009,66.44,33.56
STH-WP,sthwp_e2_2,524,3152,1677,1475,53.2,46.8
STH-WP,sthwp_e2_2b,42,3016,1981,1034,65.68,34.28
STH-WP,sthwp_e2_2b,123,2983,2006,977,67.25,32.75
STH-WP,sthwp_e2_2b,524,3041,1838,1203,60.44,39.56
SUB-WP,stage1,42,1494,1477,5,98.86,0.33
SUB-WP,stage1,123,1492,1442,30,96.65,2.01
SUB-WP,stage1,524,1654,1643,8,99.33,0.48
SUB-WP,stage2,42,4264,4205,19,98.62,0.45
SUB-WP,stage2,123,4542,4435,89,97.64,1.96
SUB-WP,stage2,524,4514,4454,36,98.67,0.8
SUB-WP,stage3_r2,42,2482,2153,273,86.74,11.0
SUB-WP,stage3_r2,123,2474,2238,214,90.46,8.65
SUB-WP,stage3_r2,524,2460,2234,213,90.81,8.66
SUB-WP,stage4_r2,42,1953,969,53,49.62,2.71
SUB-WP,stage4_r2,123,1980,1077,59,54.39,2.98
SUB-WP,stage4_r2,524,1967,1120,17,56.94,0.86
SUB-WP,stage5_r2,42,2516,2414,50,95.95,1.99
SUB-WP,stage5_r2,123,1834,1605,18,87.51,0.98
SUB-WP,stage5_r2,524,2465,2461,0,99.84,0.0
SUB-WP,e2_0,42,673,453,199,67.31,29.57
SUB-WP,e2_0,123,715,574,141,80.28,19.72
SUB-WP,e2_0,524,668,490,153,73.35,22.9
SUB-WP,subwp_e2_1,42,2090,1539,551,73.64,26.36
SUB-WP,subwp_e2_1,123,2095,1568,527,74.84,25.16
SUB-WP,subwp_e2_1,524,2103,1566,537,74.47,25.53
SUB-WP,subwp_e2_2,42,2174,1381,775,63.52,35.65
SUB-WP,subwp_e2_2,123,2227,1536,691,68.97,31.03
SUB-WP,subwp_e2_2,524,2171,1549,622,71.35,28.65
SUB-WP,subwp_e2_2b,42,2170,1447,720,66.68,33.18
SUB-WP,subwp_e2_2b,123,2192,1518,673,69.25,30.7
SUB-WP,subwp_e2_2b,524,2204,1543,661,70.01,29.99
