arquitectura,fase,semilla,objetivo_fase,checkpoint_origen,checkpoint_generado,timesteps_previstos,timesteps_registrados,directorio_tensorboard,n_archivos_eventos,csv_asociado,metricas_disponibles,estado_datos,observaciones
STH-WP,Fase 1,42,Aproximacion inicial a una ubicacion,desde cero,pruebas/run002_s42_stage1_final.zip,500000,501760,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/tensorboard_logs/stage1_run002_s42_1,1,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/stats_run002_s42_stage1.csv,stats/tasa_exito_%; stats/tasa_colision_%; stats/tasa_truncado_%; stats/tasa_estanteria_%; rollout/ep_rew_mean; rollout/ep_len_mean; train/value_loss; train/policy_gradient_loss; train/entropy_loss; train/approx_kl; train/clip_fraction; train/explained_variance; train/learning_rate,completo,"Existe tambien run001 (primer intento de fases 1-3), excluido de la cadena valida porque no continua a 3v2."
STH-WP,Fase 1,123,Aproximacion inicial a una ubicacion,desde cero,pruebas/run002_s123_stage1_final.zip,500000,501760,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/tensorboard_logs/stage1_run002_s123_1,1,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/stats_run002_s123_stage1.csv,stats/tasa_exito_%; stats/tasa_colision_%; stats/tasa_truncado_%; stats/tasa_estanteria_%; rollout/ep_rew_mean; rollout/ep_len_mean; train/value_loss; train/policy_gradient_loss; train/entropy_loss; train/approx_kl; train/clip_fraction; train/explained_variance; train/learning_rate,completo,"Existe tambien run001 (primer intento de fases 1-3), excluido de la cadena valida porque no continua a 3v2."
STH-WP,Fase 1,524,Aproximacion inicial a una ubicacion,desde cero,pruebas/run002_s524_stage1_final.zip,500000,501760,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/tensorboard_logs/stage1_run002_s524_1,1,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/stats_run002_s524_stage1.csv,stats/tasa_exito_%; stats/tasa_colision_%; stats/tasa_truncado_%; stats/tasa_estanteria_%; rollout/ep_rew_mean; rollout/ep_len_mean; train/value_loss; train/policy_gradient_loss; train/entropy_loss; train/approx_kl; train/clip_fraction; train/explained_variance; train/learning_rate,completo,"Existe tambien run001 (primer intento de fases 1-3), excluido de la cadena valida porque no continua a 3v2."
STH-WP,Fase 2,42,Aproximacion generalizada a las 28 ubicaciones,pruebas/run002_s42_stage1_final.zip,pruebas/run002_s42_stage2_final.zip,4000000,4503552,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/tensorboard_logs/stage2_run002_s42_0,1,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/stats_run002_s42_stage2.csv,stats/tasa_exito_%; stats/tasa_colision_%; stats/tasa_truncado_%; stats/tasa_estanteria_%; rollout/ep_rew_mean; rollout/ep_len_mean; train/value_loss; train/policy_gradient_loss; train/entropy_loss; train/approx_kl; train/clip_fraction; train/explained_variance; train/learning_rate,completo,
STH-WP,Fase 2,123,Aproximacion generalizada a las 28 ubicaciones,pruebas/run002_s123_stage1_final.zip,pruebas/run002_s123_stage2_final.zip,4000000,4503552,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/tensorboard_logs/stage2_run002_s123_0,1,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/stats_run002_s123_stage2.csv,stats/tasa_exito_%; stats/tasa_colision_%; stats/tasa_truncado_%; stats/tasa_estanteria_%; rollout/ep_rew_mean; rollout/ep_len_mean; train/value_loss; train/policy_gradient_loss; train/entropy_loss; train/approx_kl; train/clip_fraction; train/explained_variance; train/learning_rate,completo,
STH-WP,Fase 2,524,Aproximacion generalizada a las 28 ubicaciones,pruebas/run002_s524_stage1_final.zip,pruebas/run002_s524_stage2_final.zip,4000000,4503552,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/tensorboard_logs/stage2_run002_s524_0,1,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/stats_run002_s524_stage2.csv,stats/tasa_exito_%; stats/tasa_colision_%; stats/tasa_truncado_%; stats/tasa_estanteria_%; rollout/ep_rew_mean; rollout/ep_len_mean; train/value_loss; train/policy_gradient_loss; train/entropy_loss; train/approx_kl; train/clip_fraction; train/explained_variance; train/learning_rate,completo,
STH-WP,Fase 3v2,42,Salida desde la estanteria (version corregida v2),pruebas/run002_s42_stage2_final.zip,pruebas/run002_s42_stage3v2_final.zip,4000000,8505344,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/tensorboard_logs/stage3_i6_run002_s42_0,1,no disponible,stats/tasa_exito_%; stats/tasa_colision_%; stats/tasa_truncado_%; stats/tasa_estanteria_%; rollout/ep_rew_mean; rollout/ep_len_mean; train/value_loss; train/policy_gradient_loss; train/entropy_loss; train/approx_kl; train/clip_fraction; train/explained_variance; train/learning_rate,sin CSV,"tb_log_name real es 'stage3_i6_...', no existe carpeta 'stage3v2_*' (trampa de nomenclatura verificada en el script). No existe train_stage3v2_s524.py en el repositorio: el checkpoint y su inferencia existen pero el script de origen para esta semilla no ha podido localizarse. No existe CSV de entrenamiento especifico de esta fase."
STH-WP,Fase 3v2,123,Salida desde la estanteria (version corregida v2),pruebas/run002_s123_stage2_final.zip,pruebas/run002_s123_stage3v2_final.zip,4000000,8505344,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/tensorboard_logs/stage3_i6_run002_s123_0,1,no disponible,stats/tasa_exito_%; stats/tasa_colision_%; stats/tasa_truncado_%; stats/tasa_estanteria_%; rollout/ep_rew_mean; rollout/ep_len_mean; train/value_loss; train/policy_gradient_loss; train/entropy_loss; train/approx_kl; train/clip_fraction; train/explained_variance; train/learning_rate,sin CSV,"tb_log_name real es 'stage3_i6_...', no existe carpeta 'stage3v2_*' (trampa de nomenclatura verificada en el script). No existe train_stage3v2_s524.py en el repositorio: el checkpoint y su inferencia existen pero el script de origen para esta semilla no ha podido localizarse. No existe CSV de entrenamiento especifico de esta fase."
STH-WP,Fase 3v2,524,Salida desde la estanteria (version corregida v2),pruebas/run002_s524_stage2_final.zip,pruebas/run002_s524_stage3v2_final.zip,4000000,8505344,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/tensorboard_logs/stage3_i6_run002_s524_0,1,no disponible,stats/tasa_exito_%; stats/tasa_colision_%; stats/tasa_truncado_%; stats/tasa_estanteria_%; rollout/ep_rew_mean; rollout/ep_len_mean; train/value_loss; train/policy_gradient_loss; train/entropy_loss; train/approx_kl; train/clip_fraction; train/explained_variance; train/learning_rate,sin CSV,"tb_log_name real es 'stage3_i6_...', no existe carpeta 'stage3v2_*' (trampa de nomenclatura verificada en el script). No existe train_stage3v2_s524.py en el repositorio: el checkpoint y su inferencia existen pero el script de origen para esta semilla no ha podido localizarse. No existe CSV de entrenamiento especifico de esta fase."
STH-WP,Fase 4v2,42,Combinacion de aproximacion y salida,pruebas/run002_s42_stage3v2_final.zip,pruebas/run002_s42_stage4v2_final.zip,4000000,12507136,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/tensorboard_logs/stage4v2_run002_s42_0,1,no disponible,stats/tasa_exito_%; stats/tasa_colision_%; stats/tasa_truncado_%; stats/tasa_estanteria_%; rollout/ep_rew_mean; rollout/ep_len_mean; train/value_loss; train/policy_gradient_loss; train/entropy_loss; train/approx_kl; train/clip_fraction; train/explained_variance; train/learning_rate,sin CSV,"No existe CSV de entrenamiento para esta fase, solo TensorBoard."
