arquitectura,fase,n_semillas,exito_min_%,exito_max_%,dispersion_exito_puntos
STH-WP,stage1,1,100.0,100.0,no comparable (1 semilla)
STH-WP,stage2,1,100.0,100.0,no comparable (1 semilla)
STH-WP,stage3v2,3,63.6,76.7,13.1
STH-WP,stage4v2,3,82.1,100.0,17.9
STH-WP,stage5,3,100.0,100.0,0.0
STH-WP,stage6,3,50.0,100.0,50.0
STH-WP,sthwp_e2_1,3,87.5,89.6,2.1
STH-WP,sthwp_e2_2,3,66.6,82.0,15.4
STH-WP,sthwp_e2_2b,3,66.4,80.3,13.9
SUB-WP,stage1,3,100.0,100.0,0.0
SUB-WP,stage2,3,92.9,100.0,7.1
SUB-WP,stage3_r2,3,93.0,99.5,6.5
SUB-WP,stage4_r2,3,100.0,100.0,0.0
SUB-WP,stage5_r2,2,0.0,100.0,100.0
SUB-WP,e2_0,0,,,sin datos
SUB-WP,subwp_e2_1,3,80.9,83.2,2.4
SUB-WP,subwp_e2_2,3,77.0,80.7,3.8
SUB-WP,subwp_e2_2b,3,51.3,79.3,28.0
